Episode,Step,Speed,Lane,Distance,Action,Reward
1,1,11.27,1,10.38,0,0.75
1,2,11.31,1,10.43,0,0.76
1,3,11.36,1,10.47,0,0.76
1,4,11.4,1,10.52,0,0.77
1,5,11.52,1,10.56,0,0.77
1,6,11.51,1,10.62,0,0.78
1,7,11.69,1,10.66,0,0.78
1,8,11.7,1,10.7,0,0.78
1,9,11.71,1,10.73,0,0.78
1,10,11.7,1,10.79,0,0.79
1,11,11.88,1,10.83,0,0.79
1,12,11.89,1,10.87,0,0.79
1,13,11.89,1,10.92,0,0.8
1,14,11.94,1,10.96,0,0.8
1,15,11.97,1,11.01,0,0.8
1,16,12.07,1,11.05,0,0.81
1,17,12.1,1,11.09,0,0.81
1,18,12.12,1,11.14,0,0.82
1,19,12.26,1,11.18,0,0.81
1,20,12.21,1,11.22,0,0.82
1,21,12.26,1,11.27,0,0.82
1,22,12.35,1,11.31,0,0.83
1,23,12.38,1,11.35,0,0.83
1,24,12.39,1,11.39,0,0.83
1,25,12.4,1,11.44,0,0.84
1,26,12.53,1,11.47,0,0.83
1,27,12.48,1,11.52,0,0.84
1,28,12.57,1,11.57,0,0.84
1,29,12.67,1,11.6,0,0.84
1,30,12.62,1,11.64,0,0.85
1,31,12.69,1,11.69,0,0.85
1,32,12.71,1,11.73,0,0.85
1,33,12.71,1,11.77,0,0.85
1,34,12.71,1,11.82,0,0.85
1,35,12.71,1,11.88,0,0.85
1,36,12.71,1,11.94,0,0.85
1,37,12.71,1,12.01,0,0.85
1,38,12.71,1,12.08,0,0.85
1,39,12.71,1,12.14,0,0.85
1,40,12.71,1,12.2,0,0.85
1,41,12.71,1,12.26,0,0.85
1,42,12.71,1,12.34,0,0.85
1,43,12.71,1,12.42,0,0.85
1,44,12.71,1,12.51,0,0.85
1,45,12.71,1,12.59,0,0.85
1,46,12.71,1,12.67,0,0.85
1,47,12.71,1,12.76,0,0.85
1,48,12.71,1,12.85,0,0.85
1,49,12.71,1,12.94,0,0.85
1,50,12.71,1,13.03,0,0.85
1,51,12.71,1,13.13,0,0.85
1,52,12.71,1,13.23,0,0.85
1,53,12.71,1,13.35,4,0.86
1,54,12.96,1,13.43,4,0.88
1,55,13.21,1,13.48,4,0.9
1,56,13.46,1,13.53,0,0.91
1,57,13.71,1,13.54,0,0.92
1,58,13.74,1,13.53,0,0.91
1,59,13.68,1,13.55,0,0.92
1,60,13.73,1,13.57,0,0.92
1,61,13.84,1,13.57,0,0.92
1,62,13.77,1,13.58,0,0.92
1,63,13.81,1,13.59,0,0.92
1,64,13.83,1,13.6,0,0.93
1,65,13.9,1,13.61,0,0.93
1,66,13.88,1,13.61,0,0.92
1,67,13.84,1,13.63,0,0.93
1,68,13.88,1,13.64,0,0.93
1,69,13.88,1,13.65,0,0.93
1,70,13.94,1,13.66,0,0.93
1,71,13.93,1,13.68,0,0.93
1,72,14.0,1,13.69,0,0.94
1,73,14.03,1,13.71,0,0.94
1,74,14.06,1,13.71,0,0.94
1,75,14.03,1,13.72,0,0.93
1,76,13.98,1,13.73,0,0.94
1,77,14.04,1,13.74,0,0.93
1,78,14.0,1,13.77,0,0.95
1,79,14.18,1,13.77,1,0.94
1,80,14.1,1,13.78,0,0.94
1,81,14.12,1,13.8,0,0.94
1,82,14.15,1,13.81,1,0.94
1,83,14.15,1,13.81,1,0.94
1,84,14.1,1,13.83,0,0.94
1,85,14.17,1,13.84,1,0.94
1,86,14.14,1,13.86,0,0.95
1,87,14.25,1,13.86,1,0.95
1,88,14.18,1,13.88,1,0.95
1,89,14.22,1,13.89,1,0.95
1,90,14.22,1,13.91,1,0.95
1,91,14.28,1,13.91,1,0.95
1,92,14.23,1,13.92,1,0.95
1,93,14.23,1,13.92,1,0.94
1,94,14.15,1,13.95,1,0.95
1,95,14.3,1,13.96,1,0.95
1,96,14.28,1,13.97,1,0.95
1,97,14.32,1,13.98,1,0.95
1,98,14.28,1,14.0,1,0.96
1,99,14.37,1,14.0,1,0.95
1,100,14.29,1,14.0,1,0.95
1,101,14.25,1,14.01,1,0.95
1,102,14.25,1,14.03,1,0.96
1,103,14.35,1,14.04,1,0.96
1,104,14.35,1,14.06,1,0.96
1,105,14.39,1,14.06,1,0.96
1,106,14.34,1,14.08,1,0.96
1,107,14.42,1,14.1,1,0.96
1,108,14.47,1,14.11,1,0.97
1,109,14.5,1,14.11,1,0.96
1,110,14.39,1,14.12,1,0.96
1,111,14.43,1,14.13,1,0.96
1,112,14.43,1,14.14,1,0.96
1,113,14.43,1,14.14,1,0.96
1,114,14.39,1,14.16,1,0.96
1,115,14.45,1,14.17,1,0.96
1,116,14.45,1,14.18,1,0.96
1,117,14.44,1,14.18,1,0.96
1,118,14.44,1,14.2,1,0.97
1,119,14.5,1,14.21,1,0.97
1,120,14.53,1,14.22,1,0.97
1,121,14.51,1,14.22,1,0.96
1,122,14.44,1,14.24,1,0.97
1,123,14.53,1,14.25,1,0.97
1,124,14.58,1,14.26,1,0.97
1,125,14.52,1,14.26,1,0.97
1,126,14.51,1,14.28,1,0.97
1,127,14.57,1,14.29,1,0.97
1,128,14.57,1,14.3,1,0.98
1,129,14.63,1,14.3,1,0.97
1,130,14.51,1,14.32,1,0.98
1,131,14.64,1,14.33,1,0.98
1,132,14.63,1,14.33,1,0.97
1,133,14.61,1,14.33,1,0.97
1,134,14.54,1,14.35,1,0.97
1,135,14.58,1,14.36,1,0.97
1,136,14.62,1,14.38,1,0.98
1,137,14.7,1,14.37,1,0.97
1,138,14.61,1,14.39,1,0.98
1,139,14.66,1,14.4,1,0.98
1,140,14.69,1,14.39,1,0.97
1,141,14.57,1,14.41,1,0.98
1,142,14.66,1,14.42,1,0.98
1,143,14.68,1,14.42,1,0.98
1,144,14.63,1,14.43,1,0.98
