Episode 1, Reward: -245.73, Steps: 731, Epsilon: 0.0500
Episode 2, Reward: -499.53, Steps: 762, Epsilon: 0.0500
Episode 3, Reward: 328.70, Steps: 395, Epsilon: 0.0500
Episode 4, Reward: 297.14, Steps: 377, Epsilon: 0.0500
Episode 5, Reward: -270.08, Steps: 567, Epsilon: 0.0500
Episode 6, Reward: -1593.72, Steps: 662, Epsilon: 0.0500
Episode 7, Reward: 27.74, Steps: 517, Epsilon: 0.0500
Episode 8, Reward: 269.88, Steps: 307, Epsilon: 0.0500
Episode 9, Reward: -410.30, Steps: 669, Epsilon: 0.0500
Episode 10, Reward: 243.52, Steps: 413, Epsilon: 0.0500
Episode 11, Reward: -210.11, Steps: 444, Epsilon: 0.0500
Episode 12, Reward: 83.82, Steps: 339, Epsilon: 0.0500
Episode 13, Reward: 338.56, Steps: 385, Epsilon: 0.0500
Episode 14, Reward: 279.79, Steps: 332, Epsilon: 0.0500
Episode 15, Reward: 267.69, Steps: 300, Epsilon: 0.0500
Episode 16, Reward: -399.35, Steps: 464, Epsilon: 0.0500
Episode 17, Reward: 228.12, Steps: 349, Epsilon: 0.0500
Episode 18, Reward: -218.34, Steps: 446, Epsilon: 0.0500
Episode 19, Reward: 233.65, Steps: 397, Epsilon: 0.0500
Episode 20, Reward: 287.53, Steps: 315, Epsilon: 0.0500
Episode 21, Reward: -1258.47, Steps: 809, Epsilon: 0.0500
Episode 22, Reward: 32.00, Steps: 443, Epsilon: 0.0500
Episode 23, Reward: 209.75, Steps: 376, Epsilon: 0.0500
Episode 24, Reward: -164.79, Steps: 505, Epsilon: 0.0500
Episode 25, Reward: 328.87, Steps: 446, Epsilon: 0.0500
Episode 26, Reward: 265.29, Steps: 348, Epsilon: 0.0500
Episode 27, Reward: 155.06, Steps: 371, Epsilon: 0.0500
Episode 28, Reward: 83.45, Steps: 360, Epsilon: 0.0500
Episode 29, Reward: -425.87, Steps: 489, Epsilon: 0.0500
Episode 30, Reward: -1834.24, Steps: 830, Epsilon: 0.0500
Episode 31, Reward: -185.74, Steps: 437, Epsilon: 0.0500
Episode 32, Reward: 124.48, Steps: 316, Epsilon: 0.0500
Episode 33, Reward: 266.83, Steps: 290, Epsilon: 0.0500
Episode 34, Reward: 66.11, Steps: 485, Epsilon: 0.0500
Episode 35, Reward: 268.96, Steps: 314, Epsilon: 0.0500
Episode 36, Reward: -169.11, Steps: 414, Epsilon: 0.0500
Episode 37, Reward: 113.22, Steps: 350, Epsilon: 0.0500
Episode 38, Reward: -528.14, Steps: 461, Epsilon: 0.0500
Episode 39, Reward: -81.07, Steps: 436, Epsilon: 0.0500
Episode 40, Reward: 194.92, Steps: 320, Epsilon: 0.0500
Episode 41, Reward: 124.11, Steps: 436, Epsilon: 0.0500
Episode 42, Reward: 313.33, Steps: 343, Epsilon: 0.0500
